Date,No.of Files,No. of Peers,Min ShareRatio,Rounds,Satisfaction
,,,,,
Tue Apr 23 20:30:47 BDT 2013,1000,50,0.5,2000,850
Tue Apr 23 20:30:49 BDT 2013,1000,50,0.5,2000,895
Tue Apr 23 20:30:51 BDT 2013,1000,50,0.5,2000,674
Tue Apr 23 20:30:52 BDT 2013,1000,50,0.5,2000,1121
Tue Apr 23 20:30:54 BDT 2013,1000,50,0.5,2000,-407
Tue Apr 23 20:30:55 BDT 2013,1000,50,0.5,2000,-571
Tue Apr 23 20:30:57 BDT 2013,1000,50,0.5,2000,-689
Tue Apr 23 20:30:58 BDT 2013,1000,50,0.5,2000,6916
Tue Apr 23 20:31:00 BDT 2013,1000,50,0.5,2000,3108
Tue Apr 23 20:31:01 BDT 2013,1000,50,0.5,2000,-1816
Tue Apr 23 20:31:03 BDT 2013,1000,50,0.5,2000,3569
Tue Apr 23 20:31:05 BDT 2013,1000,50,0.5,2000,398
Tue Apr 23 20:31:06 BDT 2013,1000,50,0.5,2000,-442
Tue Apr 23 20:31:08 BDT 2013,1000,50,0.5,2000,227
Tue Apr 23 20:31:09 BDT 2013,1000,50,0.5,2000,2799
Tue Apr 23 20:31:12 BDT 2013,1000,50,0.5,2000,-128
Tue Apr 23 20:31:14 BDT 2013,1000,50,0.5,2000,11323
Tue Apr 23 20:31:16 BDT 2013,1000,50,0.5,2000,-1941
Tue Apr 23 20:31:17 BDT 2013,1000,50,0.5,2000,-253
Tue Apr 23 20:31:19 BDT 2013,1000,50,0.5,2000,13602
Tue Apr 23 20:31:20 BDT 2013,1000,50,0.5,2000,-2366
Tue Apr 23 20:38:10 BDT 2013,500,50,0.5,2000,2300
Tue Apr 23 20:38:12 BDT 2013,500,50,0.5,2000,956
Tue Apr 23 20:38:14 BDT 2013,500,50,0.5,2000,1628
Tue Apr 23 20:38:15 BDT 2013,500,50,0.5,2000,3572
Tue Apr 23 20:38:16 BDT 2013,500,50,0.5,2000,3002
Tue Apr 23 20:39:18 BDT 2013,500,50,0.5,1000,156
Tue Apr 23 20:39:20 BDT 2013,500,50,0.5,1000,8515
Tue Apr 23 20:39:21 BDT 2013,500,50,0.5,1000,2877
Tue Apr 23 20:39:22 BDT 2013,500,50,0.5,1000,553
Tue Apr 23 20:39:24 BDT 2013,500,50,0.5,1000,1726
Tue Apr 23 20:39:25 BDT 2013,500,50,0.5,1000,862
Tue Apr 23 20:39:26 BDT 2013,500,50,0.5,1000,970
Tue Apr 23 20:39:27 BDT 2013,500,50,0.5,1000,3426
Tue Apr 23 20:39:28 BDT 2013,500,50,0.5,1000,2195
Tue Apr 23 20:39:29 BDT 2013,500,50,0.5,1000,2428
Tue Apr 23 20:39:30 BDT 2013,500,50,0.5,1000,601
Tue Apr 23 20:39:32 BDT 2013,500,50,0.5,1000,2923
Tue Apr 23 20:39:33 BDT 2013,500,50,0.5,1000,674
Tue Apr 23 20:39:34 BDT 2013,500,50,0.5,1000,2219
Tue Apr 23 20:39:35 BDT 2013,500,50,0.5,1000,109
Tue Apr 23 20:39:36 BDT 2013,500,50,0.5,1000,593
Tue Apr 23 20:39:37 BDT 2013,500,50,0.5,1000,4747
Tue Apr 23 20:39:38 BDT 2013,500,50,0.5,1000,850
Tue Apr 23 20:39:40 BDT 2013,500,50,0.5,1000,4290
Tue Apr 23 20:39:41 BDT 2013,500,50,0.5,1000,8054
Tue Apr 23 20:39:42 BDT 2013,500,50,0.5,1000,2577
Tue Apr 23 20:41:05 BDT 2013,2000,50,0.5,4000,1440
Tue Apr 23 20:41:07 BDT 2013,2000,50,0.5,4000,4776
Tue Apr 23 20:41:09 BDT 2013,2000,50,0.5,4000,9643
Tue Apr 23 20:41:11 BDT 2013,2000,50,0.5,4000,5452
Tue Apr 23 20:41:15 BDT 2013,2000,50,0.5,4000,-3637
Tue Apr 23 20:41:17 BDT 2013,2000,50,0.5,4000,8402
Tue Apr 23 20:41:19 BDT 2013,2000,50,0.5,4000,-4464
Tue Apr 23 20:41:21 BDT 2013,2000,50,0.5,4000,7302
Tue Apr 23 20:41:22 BDT 2013,2000,50,0.5,4000,-397
Tue Apr 23 20:41:25 BDT 2013,2000,50,0.5,4000,1280
Tue Apr 23 20:41:27 BDT 2013,2000,50,0.5,4000,6192
Tue Apr 23 20:41:28 BDT 2013,2000,50,0.5,4000,-175
Tue Apr 23 20:41:30 BDT 2013,2000,50,0.5,4000,7867
Tue Apr 23 20:41:32 BDT 2013,2000,50,0.5,4000,-2756
Tue Apr 23 20:41:33 BDT 2013,2000,50,0.5,4000,-534
Tue Apr 23 20:41:35 BDT 2013,2000,50,0.5,4000,-6188
Tue Apr 23 20:41:36 BDT 2013,2000,50,0.5,4000,4232
Tue Apr 23 20:41:38 BDT 2013,2000,50,0.5,4000,88
Tue Apr 23 20:41:40 BDT 2013,2000,50,0.5,4000,-3299
Tue Apr 23 20:41:42 BDT 2013,2000,50,0.5,4000,-5953
,,,,,
Tue Apr 23 20:43:46 BDT 2013,5000,50,0.5,10000,201457
Tue Apr 23 20:44:03 BDT 2013,5000,50,0.5,10000,235707
Tue Apr 23 20:44:08 BDT 2013,5000,50,0.5,10000,145837
Tue Apr 23 20:44:13 BDT 2013,5000,50,0.5,10000,102235
Tue Apr 23 20:44:18 BDT 2013,5000,50,0.5,10000,200346
Tue Apr 23 20:44:23 BDT 2013,5000,50,0.5,10000,120901
Tue Apr 23 20:44:29 BDT 2013,5000,50,0.5,10000,286171
Tue Apr 23 20:44:34 BDT 2013,5000,50,0.5,10000,147089
Tue Apr 23 20:44:39 BDT 2013,5000,50,0.5,10000,129848
Tue Apr 23 20:44:45 BDT 2013,5000,50,0.5,10000,321190
Tue Apr 23 20:44:50 BDT 2013,5000,50,0.5,10000,332367
Tue Apr 23 20:45:00 BDT 2013,5000,50,0.5,10000,250543
Tue Apr 23 20:45:04 BDT 2013,5000,50,0.5,10000,155931
Tue Apr 23 20:46:15 BDT 2013,10000,50,0.5,10000,342036
Tue Apr 23 20:46:37 BDT 2013,10000,50,0.5,20000,526909
Tue Apr 23 20:46:55 BDT 2013,10000,50,0.5,20000,338323
Tue Apr 23 20:47:08 BDT 2013,10000,50,0.5,20000,400169
Tue Apr 23 20:47:22 BDT 2013,10000,50,0.5,20000,577900
Tue Apr 23 20:47:37 BDT 2013,10000,50,0.5,20000,489660
Tue Apr 23 20:48:17 BDT 2013,10000,50,0.5,20000,602771
Tue Apr 23 20:48:48 BDT 2013,10000,50,0.5,20000,379498
Tue Apr 23 20:49:07 BDT 2013,10000,50,0.5,20000,509966
Tue Apr 23 20:49:21 BDT 2013,10000,50,0.5,20000,448218
Tue Apr 23 20:49:50 BDT 2013,10000,50,0.5,20000,600700
Tue Apr 23 20:50:27 BDT 2013,10000,50,0.5,20000,507209

Tue Apr 23 20:55:04 BDT 2013,1000,20,0.5,2000,2669.0
Tue Apr 23 20:55:07 BDT 2013,1000,20,0.5,2000,-1335.0
Tue Apr 23 20:55:08 BDT 2013,1000,20,0.5,2000,777.0
Tue Apr 23 20:55:09 BDT 2013,1000,20,0.5,2000,3897.0
Tue Apr 23 20:55:10 BDT 2013,1000,20,0.5,2000,14165.0
Tue Apr 23 20:55:11 BDT 2013,1000,20,0.5,2000,8406.0
Tue Apr 23 20:55:12 BDT 2013,1000,20,0.5,2000,-778.0
Tue Apr 23 20:55:17 BDT 2013,1000,20,0.5,2000,-471.0
Tue Apr 23 20:55:18 BDT 2013,1000,20,0.5,2000,605.0
Tue Apr 23 20:55:19 BDT 2013,1000,20,0.5,2000,-912.0
Tue Apr 23 20:55:20 BDT 2013,1000,20,0.5,2000,16434.0
Tue Apr 23 20:55:21 BDT 2013,1000,20,0.5,2000,12059.0
Tue Apr 23 20:56:29 BDT 2013,1000,100,0.5,2000,5916.0
Tue Apr 23 20:56:32 BDT 2013,1000,100,0.5,2000,6215.0
Tue Apr 23 20:56:33 BDT 2013,1000,100,0.5,2000,2308.0
Tue Apr 23 20:56:35 BDT 2013,1000,100,0.5,2000,4050.0
Tue Apr 23 20:56:37 BDT 2013,1000,100,0.5,2000,2367.0
Tue Apr 23 20:56:38 BDT 2013,1000,100,0.5,2000,958.0
Tue Apr 23 20:56:40 BDT 2013,1000,100,0.5,2000,2055.0
